probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,result_chars,result_bytes,gzip_bytes,gzip_ratio,bucket
bash,019d694a-7472-7d21-867d-0cf78e2c27bd,codex,gpt-5.4,56,call_GMitUsDN2piTkoKySbUL8LRk,bash,,35120,35130,8517,4.124691792884819,3-5
bash,019d694a-7475-7140-93d0-31af4202e21e,codex,gpt-5.4,127,call_ScNAEzLNeXiiyO576gEWNITw,bash,,2122,2122,732,2.898907103825137,2-3
bash,019d694a-7475-7140-93d0-31af4202e21e,codex,gpt-5.4,716,call_boVpGoTwPW1aYlj5DZv85ZwL,bash,,175,175,144,1.2152777777777777,<2
bash,019d694a-7499-7e23-b759-52fa19ea94c9,codex,gpt-5.4,167,call_l5DAHdLq0WxBqGXUHrDCp7w6,bash,,815,815,481,1.6943866943866943,<2
bash,019d694a-74ac-70e0-b708-4cda77d0593e,codex,gpt-5.4,475,call_oX4geIaQsIHphUduXsnv4t0D,bash,,2208,2208,958,2.3048016701461376,2-3
bash,019d6c43-1537-7343-9691-1f8cee04fe59,codex,gpt-5.4,174,call_XbYvlv1SAWEr5crh8gjf81fz,bash,,224,224,192,1.1666666666666667,<2
bash,019d6c87-d248-7130-b50d-043e9fcc03cf,codex,gpt-5.4,23,call_NqZ3ikpJ8fT1fRmRxsW0Zaf9,bash,,204,204,187,1.0909090909090908,<2
bash,019d6cca-56cc-7850-9ca0-e841d6382a98,codex,gpt-5.4,349,call_SR7cOMiMn31rK71hZ2ZdaKG3,bash,,6039,6111,2209,2.766410140334993,2-3
bash,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,670,call_7YIWOJgbtO4WpBqIhigPE0UV,bash,,26057,26057,2732,9.537701317715959,5-10
bash,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,3287,call_c8oKWGtNwvGLHSo6qVdL9f7p,bash,,435,435,273,1.5934065934065933,<2
bash,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,4696,call_5NFRGA8JRZlsDLKEKsdL2CkK,bash,,296,296,221,1.339366515837104,<2
bash,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,5285,call_vZD2BkAOH7HDP6kNMlc3kI7f,bash,,193,193,166,1.1626506024096386,<2
bash,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,5357,call_rWgmgDK0Da6RWtTcRpWxGcc2,bash,,189,189,155,1.2193548387096773,<2
bash,019d6d29-8cf7-7fe3-adc9-8c3e4d9d5603-075e4dd7d418,codex,gpt-5.4,5666,call_0wDhjmUoF30vT3WWar4nPJ7F,bash,,191,191,149,1.2818791946308725,<2
bash,019d6e2e-e3ac-7961-b8b4-538e29a1ed3d,codex,gpt-5.4,1088,call_qbPOKMI81706MDzscCyBYtF0,bash,,207,207,177,1.1694915254237288,<2
bash,019d6e66-8358-7a62-a19a-38479779023a,codex,gpt-5.4,199,call_9c5xoaLjAb5NJoo5GcNK48CB,bash,,197,197,155,1.270967741935484,<2
