probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,result_chars,n_lines,style,n_prefixed_lines,prefix_chars,prefix_share,prefixed_line_share
read,09437e76-2b37-45d6-92bc-057f15daa607,claude_code,claude-opus-4-6,364,toolu_01F9H7C5rrEgjdJPeJrB9YYf,read,REDACTED.md,116,1,none,0,0,0.0,0.0
read,09437e76-2b37-45d6-92bc-057f15daa607,claude_code,claude-opus-4-6,415,toolu_018B2eKs8cMsQzaFwzL5NGKc,read,/Users/vfaraji89/Documents/contribuet-github/tokalator/tokalator-extension-vs/src/webview/contextDashboardProvider.ts,4409,100,tab,100,400,0.09072352007257882,1.0
read,0951ba9b-a9cc-40b3-a122-c38317080e2d,claude_code,claude-opus-4-6,1744,toolu_01Wp7Ge9cyFC2EaZ2VeAwgtQ,read,/Users/marcus/conductor/workspaces/brain-v1/caracas/docs/feature/openclaw-gateway/discuss/acceptance-criteria.md,4052,80,arrow,80,560,0.13820335636722605,1.0
read,0951ba9b-a9cc-40b3-a122-c38317080e2d,claude_code,claude-opus-4-6,2352,toolu_01CtPLjndeXMqS5LmAuzjT9k,read,/Users/marcus/conductor/workspaces/brain-v1/caracas/docs/feature/openclaw-gateway/distill/test-scenarios.md,605,20,arrow,20,140,0.23140495867768596,1.0
read,0959d8ff-f53e-4750-a836-35d84e1c98de,claude_code,claude-opus-4-6,1414,toolu_01TkFpV4mJZZcuxeAg1fodir,read,/home/abe/osvauld/sample_apps/osvauld-demos/permit_template.json,37438,807,arrow,807,5649,0.15088947059137775,1.0
read,0959d8ff-f53e-4750-a836-35d84e1c98de,claude_code,claude-opus-4-6,2397,toolu_01GV5Y4B5Ah8mFmGnJoFkXtg,read,/home/abe/osvauld/courier/src/peer_actor/publish.rs,3378,80,arrow,80,560,0.16577856719952636,1.0
read,0959d8ff-f53e-4750-a836-35d84e1c98de,claude_code,claude-opus-4-6,3326,toolu_01TuBu4wJx3B2VQkArKSh6ci,read,/home/abe/osvauld/scribe/src/layer_unit/dynamic.rs,1565,40,arrow,40,280,0.17891373801916932,1.0
read,0959d8ff-f53e-4750-a836-35d84e1c98de,claude_code,claude-opus-4-6,3621,toolu_01WgxtVzxQRCaq9wL9Lq6L1S,read,/home/abe/osvauld/scribe/src/actor.rs,1295,30,arrow,30,210,0.16216216216216217,1.0
read,09660e84-4d47-431a-af79-24191c9e8dda,claude_code,claude-opus-4-8,951,toolu_01YLsv9ZVHnwx7f3uTGvYWn4,read,/home/gregz/cp/panopt/crates/panopt-core/src/state.rs,825,12,tab,12,48,0.05818181818181818,1.0
read,099d476e-36bb-41f5-a974-a5d9e4617389,claude_code,claude-opus-4-6,810,toolu_01Y5jrfhQAuqzZWFULMA2LyF,read,/Users/michael/Code/cipher-box/apps/api/src/ipns/delegated-routing.module.ts,390,11,arrow,11,77,0.19743589743589743,1.0
read,09a36ffc-579b-4ea7-8250-26b3d4412920,claude_code,claude-opus-4-6,223,toolu_01EAsAnfv5bmkRRXVVnf2GvN,read,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/src/dashboard/tabs/metrics.py,12566,313,arrow,313,2191,0.174359382460608,1.0
read,09a36ffc-579b-4ea7-8250-26b3d4412920,claude_code,claude-opus-4-6,227,toolu_01QWitx4yLgdTeNCowb6RqrF,read,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/src/dashboard/tabs/comparison.py,9175,212,arrow,212,1484,0.16174386920980927,1.0
read,09b67668-22b0-428c-9004-821294d5f946,claude_code,claude-opus-4-6,26,toolu_01N6A6LZLvq3hGjJxkVaTaAC,read,/Users/jeevanpillay/Code/@jeevanpillaystudios/dual/README.md,10286,247,arrow,247,1729,0.16809255298463932,1.0
read,09bd4402-d1a9-4874-a390-e6d6136e1b62,claude_code,claude-opus-4-6,31,toolu_01QaVnGPGKpzC4NCmB2qLCXs,read,/home/yoh/proj/bids/bids-utils/src/bids_utils/run.py,3762,119,tab,119,368,0.09782030834662414,1.0
read,09bd60f9-f475-4225-9827-59553b18e81e,claude_code,claude-opus-4-6,563,toolu_01BR8gtNRvCBvPtbbfeaFtvK,read,/Users/penso/.superset/worktrees/moltis/tool-call-output/crates/agents/src/model.rs,5435,100,arrow,100,700,0.12879484820607176,1.0
read,09e5aaaa-9f47-47c0-9fb1-bee87b82d846,claude_code,claude-opus-4-8,544,toolu_01NDpc2XUerUyfmrA8CLtq5q,read,/Users/pepe/Library/CloudStorage/OneDrive-TV2DANMARK/Dokumenter/GitHub/pskoett-skills/skills/control-session-orchestrator/evals/evals.json,6849,76,tab,76,219,0.0319754708716601,1.0
read,0a130d1e-134a-4942-9a58-614f69e6304e,claude_code,claude-opus-4-6,81,toolu_01Cjmw6dmgyJDqv3iyqSo5sR,read,/Users/glnelson/dev/s26_march26_example_claude_skills_agent_prototyping/.claude/skills/flourishing-prompt/SKILL.md,4639,70,arrow,70,490,0.10562621254580729,1.0
read,0a1dcb87-2c05-40b3-8b53-6c01ec2976f6,claude_code,claude-opus-4-6,192,toolu_019EAzjLQgdjKK9mYNR5X77m,read,/Users/penso/.superset/worktrees/moltis/copilot-enterprise/crates/providers/src/github_copilot.rs,585,15,arrow,15,105,0.1794871794871795,1.0
read,0a3eebe1-ace1-4704-9b05-36dc15d1115d,claude_code,claude-opus-4-6,458,toolu_01Laohi4ocxAE3AkZa2H5sv4,read,/Users/dragan/Documents/AI-Boilerplate/apps/tfc/backend/features/exercise/briefing_phase_test.py,200,6,arrow,6,42,0.21,1.0
read,0a76fbfe-d767-433e-b4b1-a39e044f21e8,claude_code,claude-opus-4-6,364,toolu_0161tS2XPhFyHv3UBqmgfot8,read,/Users/alex/workspace/cli/.worktrees/1/cmd/entire/cli/integration_test/resume_test.go,1335,30,arrow,25,175,0.13108614232209737,0.8333333333333334
read,0aef84ae-9324-4eaf-a425-b6451fedf029,claude_code,claude-fable-5,227,toolu_018oEUKzydDxu7Ta9nQi6rJU,read,/private/tmp/claude-501/-Users-arijit-Coding-Python-DataQ/0aef84ae-9324-4eaf-a425-b6451fedf029/scratchpad/epic597.md,1675,45,tab,45,126,0.07522388059701493,1.0
read,0aef84ae-9324-4eaf-a425-b6451fedf029,claude_code,claude-fable-5,644,toolu_01J2igdGGDdq75UZ9WggmH11,read,/private/tmp/claude-501/-Users-arijit-Coding-Python-DataQ/0aef84ae-9324-4eaf-a425-b6451fedf029/tasks/bubnx4dfw.output,1566,26,tab,26,69,0.044061302681992334,1.0
read,0b2ef23d-5fb1-4fdb-be2e-39032ecd6ab6,claude_code,claude-opus-4-7,222,toolu_01HrnXfAtFkeZpZ6A5vsrfrL,read,/Users/peytonmontei/Documents/entire/devenv/entireio/cli/.worktrees/entire-dispatch-command/cmd/entire/cli/transcript/types.go,2113,61,tab,61,174,0.08234737340274491,1.0
read,0b332275-8bc9-4ae7-b66f-3f67397606fd,claude_code,claude-opus-4-6,70,toolu_019BEQq4Jgw9r7c8deoewApf,read,/Users/jdsingh/Projects/AI/forge/src/orchestrator/runner.rs,3359,80,arrow,80,560,0.16671628460851443,1.0
read,0b5d410a-78c3-471c-b051-19ca66fb1bfc,claude_code,claude-opus-4-7,39,toolu_01WwrGUneVEQVwPhpoYGe22a,read,/Users/golamrabbani/expatal/PropContext/app/schemas/ingest.py,432,20,tab,20,51,0.11805555555555555,1.0
read,0b5d410a-78c3-471c-b051-19ca66fb1bfc,claude_code,claude-opus-4-7,76,toolu_01AuFDWc2FdNykt4Qtvpnc95,read,/Users/golamrabbani/expatal/PropContext/tests/engine/test_contracts.py,6028,177,tab,177,600,0.099535500995355,1.0
read,0b5d410a-78c3-471c-b051-19ca66fb1bfc,claude_code,claude-opus-4-7,345,toolu_01YHGV29PV3LDmU7iFWCX7Jq,read,/Users/golamrabbani/expatal/PropContext/tests/api/test_ingest.py,3251,90,tab,90,261,0.08028298984927715,1.0
read,0b5d410a-78c3-471c-b051-19ca66fb1bfc,claude_code,claude-opus-4-7,480,toolu_01B22QXThU3HzSLWHrKn3Ynb,read,/Users/golamrabbani/expatal/PropContext/app/verticals/property_de/plugin.py,2618,85,tab,85,246,0.09396485867074103,1.0
read,0b6226c8-c4f9-4c68-857d-5824409399f7,claude_code,claude-sonnet-4-6,6,toolu_012TGNc2vA3fGYMmjjRgYBjt,read,/hpc/compgen/projects/llm_GEO_project/harmonia_metadata_agent/analysis/dstoker/harmonia/build_harmonia_apptainer.sh,8882,229,arrow,224,1568,0.17653681603242513,0.9781659388646288
